videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
uKJKf-ooOhM,SENNHEISER 2 vs AIRPODS PRO [Sennheiser Momentum True Wireless 2 &amp; Apple AirPod Pro Full Comparison],UCZZ4ivUawsXRktLKej8d6Xw,Mike O'Brien,2020-03-15,201510,3396,134,577,30043086,183000,160,68.50017547607422,2020-03-13,56.49163436889648,2020-03-20
gIaraa91RE0,FAKE VS REAL Apple AirPods Pro - Buyers Beware! 1:1 Clone,UCf_67twWOb9eYH-HX562r6A,Redskull,2019-11-27,488281,5325,197,661,73316661,218000,1198,64.97481536865234,2019-11-26,63.78491592407226,2019-12-03
AZy5CoKWK04,FAKE VS REAL Apple AirPods Pro - Buyers Beware! Perfect Clone!,UCf_67twWOb9eYH-HX562r6A,Redskull,2020-06-08,469825,5944,236,1264,73316661,218000,1198,82.5833740234375,2020-06-05,84.40194702148438,2020-06-12
79rZE6vtpWM,FAKE VS REAL Apple AirPods 2 - Buyers Beware 1:1 Clone,UCf_67twWOb9eYH-HX562r6A,Redskull,2020-07-26,54891,945,26,177,73316661,218000,1198,92.28909301757812,2020-07-24,105.8860855102539,2020-07-31
IsAufcwdjE4,Apple AirPods Pro kutusundan çıkıyor!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-11-19,483846,9344,1594,1671,496050734,1430000,5850,65.66563415527344,2019-11-18,65.48616790771484,2019-11-25
0IkQZToTsFY,BEKLEDİĞİMİZE DEĞDİ Mİ? - Apple AirPods 2 Kutu Açılışı!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-04-05,470481,6945,875,715,496050734,1430000,5850,47.60085678100586,2019-04-04,48.393836975097656,2019-04-11
WGUlNJh261k,Apple AirPods İnceleme - 900 TL&#39;ye değiyor mu?,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2017-03-10,310895,3583,246,702,496050734,1430000,5850,32.70998001098633,2017-03-09,33.184066772460945,2017-03-16
ypNMkiGmAHE,Apple AirPods Pro Uzun Kullanım Testi! - 3 ay nasıl geçti?,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2020-03-05,288861,9270,435,991,496050734,1430000,5850,74.60424041748047,2020-03-04,67.87424468994139,2020-03-11
H54oLelvMG0,Samsung Galaxy Buds İnceleme - Apple AirPods ile karşılaştırdık,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-05-04,266035,4161,285,960,496050734,1430000,5850,51.50739288330078,2019-05-03,48.14799880981445,2019-05-10
ZA3W-EXrLE0,1.399 TL verip almaya değer mi? - Apple AirPods 2 İnceleme!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-04-21,220212,3162,382,493,496050734,1430000,5850,49.58818054199219,2019-04-18,49.69520950317383,2019-04-26
O0bk9MSmnHw,Skullcandy Indy vs Apple AirPods 2 - And the winner is? (Review &amp; Mic Sample),UCt7gJvggxs69ZSQc1eBMh_w,Brian Unboxed,2019-05-17,421864,5628,296,501,6712320,24000,434,46.41430282592773,2019-05-16,43.86991500854492,2019-05-23
P_cNQbAXP6g,Apple AirPods Unboxing,UCeaXPZT_Zj8CSC-OrQcRs3g,TechTalk,2017-11-02,420762,3844,180,561,14320044,27500,1337,39.68147277832031,2017-11-01,41.90462112426758,2017-11-08
